,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
439,Flagship Saffron Hotel Durgapuri Chowk,625,2.8,12,Fair,NON WIZARD MEMBER,1984,"100 foota GTB road durgapuri Shahdara delhi, Delhi",Delhi
440,OYO Townhouse 057 Gujranwala Town Near Azadpur Metro Station,2363,3.2,2515,Fair,WIZARD MEMBER,6751,"Tehsil, Delhi",Delhi
441,OYO Hotel Sai Near Adarsh Nagar Metro Station,664,3.3,365,Fair,WIZARD MEMBER,1897,"A Block - 19, Azadpur, New Delhi 110033",Delhi
442,OYO Flagship 81051 The Royal Hotel Stay Delhi,696,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2208,"guru nanak pura, Delhi",Delhi
443,OYO Hotel Aura Palace Deluxe Near Gurudwara Shri Bangla Sahib,1332,3.9,2413,Good,WIZARD MEMBER,3807,"Paharganj (Near Delhi Railway Station), Delhi",Delhi
444,Flagship City Inn Dx Near Gurudwara Shri Bangla Sahib,1387,3.4,397,Fair,WIZARD MEMBER,3962,"Near RK ASHRAM, Basant Road Railway Colony, Delhi",Delhi
445,OYO Townhouse 738 Family In,1246,2.9,283,Fair,WIZARD MEMBER,3561,"RR Block Naveen Shahdara Delhi, Delhi",Delhi
446,OYO Hotel 7 Heaven Near Satyam Inox Patel Nagar,564,1.9,16,Fair,NON WIZARD MEMBER,1789,"Keshav Puram, Delhi",Delhi
447,OYO Townhouse 619 Hotel Church House Rohini Near Rohini Sector 18 Metro Station,1765,3.9,1344,Good,WIZARD MEMBER,5042,"Above Axis Bank, Near JIMS, Sector 15, Rohini, Delhi",Delhi
448,OYO Flagship 809311 Vivaan Residency,970,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2771,"Karwal Nagar, Delhi",Delhi
449,Collection O Golden Key Near TDI Mall,631,3.1,864,Fair,WIZARD MEMBER,2322,"Near Rajdhani College, Delhi",Delhi
450, Flagship Padam Residency Near Laxmi Nagar metro ,649,2.3,174,Fair,WIZARD MEMBER,1873,"Shakarpur Khas Near Inferno Gym Block U, Delhi",Delhi
451,OYO Flagship 810595 Home Stay ,564,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,1789,"village Haiderpur, Delhi",Delhi
452,OYO Townhouse 281 Harsh Vihar. Near M2K Cinemas Rohini,2211,3.6,869,Good,WIZARD MEMBER,6317,"Near Pitampura metro , Harsh Vihar, Delhi",Delhi
453,OYO Flagship 808523 Hotel Sun Shine,703,2.9,35,Fair,NON WIZARD MEMBER,2008,"Shakarpur Main Market, Delhi",Delhi
454,Capital O Season Grand Near M2k Cinemas Rohini,1249,3.2,644,Fair,NON WIZARD MEMBER,3569,Near Pitampura metro station,Delhi
455,OYO Flagship 80769 Seven Heaven ,626,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,1789,"B-54 Lawrence Road Industrial Area Near Lawrence Road, Delhi",Delhi
456,Collection O Metro View Ashok Vihar Near Shalimar Bagh Metro Station,1257,3.8,22,Good,NON WIZARD MEMBER,3591,"Pocket C 1, Delhi",Delhi
457,OYO Flagship 808887 Hotel S Inn,1597,3.5,33,Good,NON WIZARD MEMBER,4562,"Paharganj New Delhi, Delhi",Delhi
458,Flagship Red Heart Inn,899,2.6,26,Fair,NON WIZARD MEMBER,2568,"Nathupura, Delhi",Delhi
459,OYO Dream Town Near V3S Mall,978,2.9,898,Fair,WIZARD MEMBER,2794,"Shahdara, Delhi",Delhi
460,SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport,500,5.0,3193,Fabulous,NON WIZARD MEMBER,1945,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",Kolkata
461,OYO SilverKey Park Circus Near Birla Mandir,982,4.5,2329,Excellent,WIZARD MEMBER,3196,"Near S S Chatterjee Heart centre, Park Circus, Kolkata",Kolkata
462,OYO Flagship 809966 Hotel Divira Inn,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,3591,"New Town, Kolkata",Kolkata
463,OYO Ankan Regency Near Acropolis Mall,649,4.5,421,Excellent,WIZARD MEMBER,2499,"595, Rajdanga main road, Near KMDA office Kolkata, 700107",Kolkata
464,OYO Townhouse Hotel Gokul Regency Near Dum Dum Metro Station,948,4.1,4275,Very Good,NON WIZARD MEMBER,3385,"Opposite ILS Hospital, Nagerbazar, Kolkata.",Kolkata
465,OYO Townhouse 229 Hotel Mannat International Near Science City Topsia,1199,4.8,5935,Excellent,WIZARD MEMBER,4002,"Near Bypass Connector, Kolkata",Kolkata
466,OYO Flagship 3127 Sammy Hospitality,599,3.7952136752136747,1015,Very Good,WIZARD MEMBER,2332,"Salt Lake, Kolkata",Kolkata
467,Flagship Delightful Stay Em Byepass Near Birla Mandir,984,4.0,1897,Very Good,WIZARD MEMBER,2989,"Uttar Panchanna Gram, Kolkata",Kolkata
468,Flagship Sonar Bangla Guest House Near Acropolis Mall,599,4.8,592,Excellent,WIZARD MEMBER,2565,"Near G S T Bhawan, Kolkata",Kolkata
469,Flagship Hotel New Aamaze Inn Near Acropolis Mall,626,3.6,236,Good,WIZARD MEMBER,1967,"Near Vivanta Hotel, Kolkata",Kolkata
470,Flagship Fantasy Near City Centre Salt Lake,846,4.0,199,Very Good,NON WIZARD MEMBER,2417,"Salt Lake, Kolkata",Kolkata
471,Super OYO Capital O Krish Residency,1199,4.0,1212,Very Good,NON WIZARD MEMBER,6031,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",Kolkata
